Time,Low,High,Open,Close,Volume
20-Jul-2015,277.37,280,277.98,280,782.8834196
21-Jul-2015,276.85,281.27,279.96,277.32,4943.559434
22-Jul-2015,275.01,278.54,277.33,277.89,4687.909383
23-Jul-2015,276.28,279.75,277.96,277.39,5306.919575
24-Jul-2015,276.43,291.52,277.23,289.12,7362.469083
25-Jul-2015,286.82,291.67,289.12,289.7,4102.45296
26-Jul-2015,288.65,294.49,289.68,293.89,3735.246603
27-Jul-2015,287.24,297,293.88,294.21,6461.033135
28-Jul-2015,293.65,298,294.22,295.76,5761.869618
29-Jul-2015,289.01,296.58,295.74,290.19,5223.507171
30-Jul-2015,286.56,291.56,290.26,288.49,5138.981549
31-Jul-2015,282.79,290,288.49,285.19,5676.618459
01-Aug-2015,277.26,285.6,285.2,281.53,3932.449751
02-Aug-2015,277.33,282.62,281.53,282.62,3361.086689
03-Aug-2015,280.27,285.86,282.62,280.95,4741.729107
04-Aug-2015,280.11,286.47,280.95,285.51,5580.22053
05-Aug-2015,282.01,286.25,285.6,282.77,5765.487797
06-Aug-2015,278.95,282.61,282.44,279.65,5027.855641
07-Aug-2015,277.05,281.17,279.37,279.94,5212.456901
08-Aug-2015,260.07,280.16,280.06,262.02,6085.449437
09-Aug-2015,260.97,268.8,262.02,267.63,5046.976875
10-Aug-2015,263.17,268.89,267.6,265.15,5478.582149
11-Aug-2015,264.91,271.99,265.15,271.99,5796.144793
12-Aug-2015,265.79,272.4,271.99,266.94,6350.256019
13-Aug-2015,262.94,267.82,266.81,264.67,5343.423018
14-Aug-2015,262.5,267.98,264.48,266.17,6859.07697
15-Aug-2015,261.77,267.69,266.21,262.46,4116.06182
16-Aug-2015,255.67,263.1,262.45,259.2,5493.637488
17-Aug-2015,255.58,261.57,259.2,257.31,6966.799706
18-Aug-2015,200,258.04,257.56,221.99,11541.7973
19-Aug-2015,214.91,238.99,221.99,227.34,13329.69034
20-Aug-2015,227.45,238.2,227.46,235.56,8819.525082
21-Aug-2015,231.15,236.99,235.56,232.85,8328.577903
22-Aug-2015,222.68,235.53,232.85,231.15,7197.349489
23-Aug-2015,226.15,233.25,231.16,229.21,4312.63769
24-Aug-2015,210,229.24,229.23,211.16,16523.78944
25-Aug-2015,198.02,229.49,211.16,223.73,19685.20578
26-Aug-2015,220.16,231.97,223.73,226.81,9756.262621
27-Aug-2015,224,229.99,226.72,225.8,7891.14647
28-Aug-2015,221.2,236.18,225.62,231.55,9155.348865
29-Aug-2015,228,233.95,231.55,230.61,4469.251131
30-Aug-2015,226.59,233.47,230.61,229.39,4975.990742
31-Aug-2015,225.23,233,229.4,230.75,6986.515719
01-Sep-2015,226.42,233.5,230.76,228.22,8599.282973
02-Sep-2015,226.43,231.43,228.22,229.97,7461.094198
03-Sep-2015,226.48,230.79,229.95,227.25,6669.721585
04-Sep-2015,227.24,232.49,227.24,231.39,7070.63136
05-Sep-2015,230.12,237.24,231.43,236.01,5615.319754
06-Sep-2015,235.54,244.82,236.17,241.29,5273.539693
07-Sep-2015,239.21,242.98,241.26,241.31,4902.581161
08-Sep-2015,240.31,247.82,241.31,244.14,8297.983855
09-Sep-2015,238.6,244.69,244.24,238.75,6819.436268
10-Sep-2015,236.69,241.4,238.74,238.52,5812.398153
11-Sep-2015,238.5,241.54,238.55,240.9,5856.642801
12-Sep-2015,235.26,241.12,240.9,236.5,5480.204714
13-Sep-2015,229.72,236.91,236.5,230.82,5004.429976
14-Sep-2015,228.01,233.99,230.83,231.01,7984.562513
15-Sep-2015,230.26,232.43,231.02,230.6,7118.307926
16-Sep-2015,226.85,232,230.67,229.73,7655.652988
17-Sep-2015,229.01,235.93,229.72,233.34,7527.998306
18-Sep-2015,231.75,234.96,233.31,233.78,4688.450795
19-Sep-2015,232,234.31,233.78,232.88,3604.571903
20-Sep-2015,231.84,234,232.88,232.24,3683.553989
21-Sep-2015,226.87,233.64,232.26,227.31,7599.804816
22-Sep-2015,224.45,232.5,227.31,231.28,8900.966602
