date,open,high,low,close,volume,market cap
29-Jan-25,101317.53,104750.81,101283.82,103703.21,47432049818,2.05518E+12
28-Jan-25,102095.42,103730.82,100238.19,101332.48,47180685494,2.00752E+12
27-Jan-25,102680.3,103214.11,97795.94,102087.69,89006608428,2.02305E+12
26-Jan-25,104713.21,105438.64,102507.71,102682.5,22543395879,2.03471E+12
25-Jan-25,104824.03,105243.79,104120.38,104714.65,23888996502,2.07456E+12
24-Jan-25,103965.67,107098.55,102772.12,104819.48,52388229265,2.07696E+12
23-Jan-25,103657.67,106820.33,101257.8,103960.17,1.04105E+11,2.05982E+12
22-Jan-25,106136.38,106294.34,103360.27,103653.07,53878181052,2.05385E+12
21-Jan-25,102052.58,107180.92,100103.96,106146.26,88733878242,2.10292E+12
20-Jan-25,101083.75,109114.88,99471.36,102016.66,1.2628E+11,2.02196E+12
19-Jan-25,104411.29,106299.8,99570.53,101089.61,76789928525,2.00272E+12
18-Jan-25,104124.95,104913.21,102226.62,104408.07,50445655726,2.06858E+12
17-Jan-25,100025.77,105884.23,99948.91,104462.04,71888972663,2.06934E+12
16-Jan-25,100505.3,100781.59,97364.44,99756.91,54103781805,1.97594E+12
15-Jan-25,96534.05,100697.23,96501.64,100504.49,57805923627,1.99111E+12
14-Jan-25,94519.01,97352.66,94322.15,96534.04,53769675818,1.91247E+12
13-Jan-25,94488.89,95837,89260.1,94516.53,72978998252,1.87238E+12
12-Jan-25,94565.73,95367.54,93712.51,94488.44,20885130965,1.87177E+12
11-Jan-25,94700.84,94977.69,93840.04,94566.59,18860894100,1.87324E+12
10-Jan-25,92494.49,95770.61,92250.09,94701.46,62058693684,1.87589E+12
09-Jan-25,95043.49,95349.72,91220.84,92484.04,62777261693,1.83217E+12
08-Jan-25,96924.16,97258.32,92525.84,95043.52,63875859171,1.88257E+12
07-Jan-25,102248.85,102712.49,96132.87,96922.71,58685738547,1.91979E+12
06-Jan-25,98314.96,102482.87,97926.15,102078.09,51823432705,2.02181E+12
05-Jan-25,98233.91,98813.31,97291.76,98314.96,20525254825,1.94719E+12
04-Jan-25,98106.99,98734.43,97562.98,98236.23,22342608078,1.94565E+12
