Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
29-Dec-1978,226,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-1979,226,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-1979,226.8,137.3,43164.9,111.5,263.7,359.6,1792.9,#N/A,#N/A,735.6,138160.5,851.3,4454.6,#N/A,#N/A,107470,#N/A,194.6,193.6
03-Jan-1979,218.6,134,43717.9,108,264.4,365.9,1802.2,#N/A,#N/A,739.4,138877,855.7,4477.7,#N/A,#N/A,108027.4,#N/A,192.2,193
04-Jan-1979,223.2,136.8,43674.9,110.7,264.1,366.4,1811.7,#N/A,#N/A,743.4,139616.3,860.3,4501.5,#N/A,#N/A,108602.5,#N/A,193,194.6
05-Jan-1979,225.5,138.4,44582.5,111.6,268.4,373.7,1843.6,#N/A,#N/A,756.4,142069.1,875.4,4580.6,#N/A,#N/A,110510.4,#N/A,196.4,197.9
08-Jan-1979,223.1,136.4,44436.2,110.2,269.5,372.6,1841.3,#N/A,#N/A,750.9,141870.9,869.7,4574.2,#N/A,#N/A,110356.3,#N/A,197.2,197.9
09-Jan-1979,224,137.3,44045.6,111,266.3,372.8,1822.5,#N/A,#N/A,743.3,140446.7,860.9,4528.3,#N/A,#N/A,109248.4,#N/A,195,195.9
10-Jan-1979,220.7,135.5,43366.4,109.9,261.8,365.9,1803.5,#N/A,#N/A,735.6,138981,852,4481,#N/A,#N/A,108108.3,#N/A,192,192.7
11-Jan-1979,220.7,135.9,43770.6,110.2,262.5,370.9,1814.6,#N/A,#N/A,740.1,139833.8,857.2,4508.5,#N/A,#N/A,108771.7,#N/A,192.4,193.8
12-Jan-1979,217.6,134.1,42837.1,109,257.2,364.6,1782.6,#N/A,#N/A,727.1,137371.8,842.1,4429.1,#N/A,#N/A,106856.6,#N/A,187.1,189.8
15-Jan-1979,216.9,133.8,42795.3,108.8,256.8,367.8,1782,#N/A,#N/A,718.1,135122.4,825.5,4374.7,#N/A,#N/A,106819.8,#N/A,187.3,189.8
16-Jan-1979,220.7,135.6,43225.9,110.2,260.9,367.7,1796.5,#N/A,#N/A,724,136222.9,832.3,4410.4,#N/A,#N/A,107689.8,#N/A,189.3,191.9
17-Jan-1979,227.3,139.2,44349.7,113.3,267.6,376.2,1842.1,#N/A,#N/A,742.3,139676.2,853.4,4522.2,#N/A,#N/A,110419.8,#N/A,196,197.1
18-Jan-1979,231.8,141.7,44823.4,115.3,270.8,379.1,1861.7,#N/A,#N/A,750.3,141168.1,862.5,4570.5,#N/A,#N/A,111599.2,#N/A,197.1,199
19-Jan-1979,230.6,141.1,46908.8,115.1,280.9,396.1,1940.8,#N/A,#N/A,782.1,147159.4,899.1,4764.4,#N/A,#N/A,116335.5,#N/A,206.5,207.6
